id,name,brewery_type
st-elmo-brewing-company-austin,St. Elmo Brewing Company,micro
thirsty-planet-brewing-co-austin,Thirsty Planet Brewing Co,micro
515-brewing-co-clive,515 Brewing Co,micro
granite-city-food-and-brewery-4-clive,Granite City Food & Brewery (#4),brewpub
5150-brewing-at-the-brass-tap-rocklin-rocklin,5150 Brewing At The Brass Tap Rocklin,micro
kathrins-biergarten-rocklin,Kathrin's Biergarten,brewpub
moksa-brewing-co-rocklin,Moksa Brewing Co,micro
out-of-bounds-brewing-company-rocklin,Out of Bounds Brewing Company,micro
51st-state-brewing-company-kingsford,51st State Brewing Company,brewpub
51st-ward-beer-company-westmont,51st Ward Beer Company,contract
myths-and-legends-brewing-company-westmont,Myths and Legends Brewing Company,micro
54-40-brewing-company-washougal,54-40 Brewing Company,brewpub
doomsday-brewing-company-and-pizza-washougal-washougal,Doomsday Brewing Company and Pizza - Washougal,brewpub
shoug-brewing-company-washougal,Shoug Brewing Company,micro
550-brewing-aztec,550 Brewing,proprietor
559-local-brewing-clovis,559 Local Brewing,micro
kings-river-brewing-company-clovis,Kings River Brewing Company,planning
machinehead-brewing-co-clovis,MachineHead Brewing Co.,planning
56-brewing-minneapolis,56 Brewing,micro
arbeiter-brewing-company-minneapolis,Arbeiter Brewing Company,planning
broken-clock-brewing-cooperative-minneapolis,Broken Clock Brewing Cooperative,micro
fair-state-brewing-cooperative-minneapolis,Fair State Brewing Cooperative,micro
fulton-beer-minneapolis-1,Fulton Beer,regional
5770-brewery-teutopolis,5770 Brewery,micro
5th-element-brewing-leander,5th Element Brewing,planning
hell-or-high-water-brewing-leander,Hell or High Water Brewing,planning
5th-line-brewing-co-yakima,5th Line Brewing Co,micro
bale-breaker-brewing-company-yakima,Bale Breaker Brewing Company,regional
berchmans-brewing-company-yakima,Berchman's Brewing Company,closed
redifer-brewing-co-yakima,Redifer Brewing Co,micro
single-hill-brewing-company-yakima,Single Hill Brewing Company,micro
5x5-brewing-co-mission,5x5 Brewing Co.,planning
6-and-40-brewerytaproom-lakewood,6 & 40 Brewery/Taproom,planning
