postal_code,county,ZHVI
92113,San Diego County,625072.0
94550,Alameda County,1276218.0
94550,Alameda County,1276218.0
94550,Alameda County,1276218.0
94550,Alameda County,1276218.0
60515,DuPage County,417259.0
60515,DuPage County,417259.0
80210,Denver County,920026.0
80210,Denver County,920026.0
80210,Denver County,920026.0
80210,Denver County,920026.0
80210,Denver County,920026.0
80210,Denver County,920026.0
80210,Denver County,920026.0
82070,Albany County,354132.0
82070,Albany County,354132.0
82070,Albany County,354132.0
78666,Hays County,381058.0
78666,Hays County,381058.0
78666,Hays County,381058.0
78666,Hays County,381058.0
78666,Hays County,381058.0
1518,Worcester County,429922.0
1518,Worcester County,429922.0
78624,Gillespie County,577079.0
78624,Gillespie County,577079.0
93940,Monterey County,1150084.0
93940,Monterey County,1150084.0
93901,Monterey County,738143.0
93901,Monterey County,738143.0
6051,Hartford County,217469.0
6051,Hartford County,217469.0
95669,Amador County,607686.0
80221,Adams County,502338.0
80221,Adams County,502338.0
80221,Adams County,502338.0
25403,Berkeley County,341564.0
97124,Washington County,558235.0
97124,Washington County,558235.0
97124,Washington County,558235.0
97124,Washington County,558235.0
97124,Washington County,558235.0
14569,Wyoming County,152772.0
90807,Los Angeles County,871720.0
90807,Los Angeles County,871720.0
90807,Los Angeles County,871720.0
32034,Nassau County,652959.0
32034,Nassau County,652959.0
32034,Nassau County,652959.0
32034,Nassau County,652959.0
48216,Wayne County,190774.0
48216,Wayne County,190774.0
48216,Wayne County,190774.0
49001,Kalamazoo County,148737.0
49001,Kalamazoo County,148737.0
49001,Kalamazoo County,148737.0
49001,Kalamazoo County,148737.0
98020,Snohomish County,1133302.0
98020,Snohomish County,1133302.0
98020,Snohomish County,1133302.0
48152,Wayne County,298679.0
18705,Luzerne County,138536.0
18705,Luzerne County,138536.0
32960,Indian River County,299760.0
32960,Indian River County,299760.0
74104,Tulsa County,235458.0
74104,Tulsa County,235458.0
74104,Tulsa County,235458.0
74104,Tulsa County,235458.0
33328,Broward County,605699.0
64161,Clay County,183534.0
1002,Hampshire County,466312.0
1002,Hampshire County,466312.0
23803,Petersburg City,194513.0
23803,Petersburg City,194513.0
1754,Middlesex County,539025.0
1754,Middlesex County,539025.0
92109,San Diego County,1402773.0
92109,San Diego County,1402773.0
92109,San Diego County,1402773.0
92109,San Diego County,1402773.0
93001,Ventura County,989719.0
93001,Ventura County,989719.0
93001,Ventura County,989719.0
93001,Ventura County,989719.0
93001,Ventura County,989719.0
98221,Skagit County,744114.0
98221,Skagit County,744114.0
92805,Orange County,780122.0
92805,Orange County,780122.0
92805,Orange County,780122.0
92805,Orange County,780122.0
2764,Bristol County,482526.0
97062,Washington County,670023.0
97062,Washington County,670023.0
99515,Anchorage Borough,468769.0
99515,Anchorage Borough,468769.0
32092,Saint Johns County,514411.0
10913,Rockland County,662183.0
28901,Cherokee County,196444.0
28901,Cherokee County,196444.0
4849,Waldo County,391808.0
90012,Los Angeles County,624291.0
90012,Los Angeles County,624291.0
90012,Los Angeles County,624291.0
90012,Los Angeles County,624291.0
75904,Angelina County,191921.0
7848,Sussex County,456167.0
29072,Lexington County,341901.0
29072,Lexington County,341901.0
29072,Lexington County,341901.0
29072,Lexington County,341901.0
59101,Yellowstone County,297282.0
59101,Yellowstone County,297282.0
59101,Yellowstone County,297282.0
59101,Yellowstone County,297282.0
59101,Yellowstone County,297282.0
59101,Yellowstone County,297282.0
90640,Los Angeles County,704957.0
55044,Dakota County,516075.0
55044,Dakota County,516075.0
80498,Summit County,1009925.0
80498,Summit County,1009925.0
54843,Sawyer County,330381.0
73102,Oklahoma County,230870.0
28621,Surry County,191783.0
28621,Surry County,191783.0
63118,Saint Louis City,190872.0
63118,Saint Louis City,190872.0
63118,Saint Louis City,190872.0
13027,Onondaga County,249175.0
13027,Onondaga County,249175.0
30121,Bartow County,309462.0
43229,Franklin County,256603.0
43229,Franklin County,256603.0
94534,Solano County,733741.0
77029,Harris County,179405.0
